ID	Area	Title	Description
58	area-System.Xml	System.Xml.sln fails to build on Mono, error CS0433	**I know that cross-platform support is coming later, I just thought it might make sense to document this here in case someone else tries the same**  Building System.Xml.sln with xbuild on Mono doesn't work (the other solutions build fine), it throws the following errors:  ``` Build FAILED. Errors:  /home/alexander/dev/corefx/src/System.Xml.sln (default targets) -> (Build target) -> /home/alexander/dev/corefx/src/System.Xml.XPath.XDocument/System.Xml.XPath.XDocument.csproj (default targets) -> /usr/lib/mono/4.5/Microsoft.CSharp.targets (CoreCompile target) ->      System/Xml/XPath/XAttributeExtensions.cs(10,56): error CS0433: The imported type `System.Xml.Linq.XAttribute' is defined multiple times     System/Xml/XPath/XAttributeExtensions.cs(10,78): error CS0433: The imported type `System.Xml.Linq.XNamespace' is defined multiple times     System/Xml/XPath/XDocumentExtensions.cs(22,61): error CS0433: The imported type `System.Xml.Linq.XNode' is defined multiple times     System/Xml/XPath/XObjectExtensions.cs(10,23): error CS0433: The imported type `System.Xml.Linq.XContainer' is defined multiple times     System/Xml/XPath/XObjectExtensions.cs(10,49): error CS0433: The imported type `System.Xml.Linq.XObject' is defined multiple times     System/Xml/XPath/XNodeNavigator.cs(48,9): error CS0433: The imported type `System.Xml.Linq.XElement' is defined multiple times     System/Xml/XPath/XNodeNavigator.cs(784,35): error CS0433: The imported type `System.Xml.Linq.XText' is defined multiple times ```  It looks like it runs into a conflict with the System.Xml.Linq library in the Mono GAC. Needs further investigation. 
69	area-Infrastructure	build.cmd does not build solution on HP laptop (when Platform=MCD is pre-set)	"I've got HP laptop with windows 7. When I run build.cmd, I've got the error ""configuration is invalid""  ``` C:\Projects\dotnet\corefx>build.cmd C:\Projects\dotnet\corefx\src\System.Collections.Immutable.sln.metaproj : error MSB4126: указанная конфигурация решения ""Release|MCD"" недопустима. Укажите допустимую конфигурац ию решения с помощью свойств Configuration и Platform (например, MSBuild.exe Solution.sln /p:Configuration=Debug /p:Platform=""Any CPU"") или оставьте эти свойства пустыми, чтобы использовать конфигурацию решения по умолчанию. [C:\Projects\dotnet\corefx\src\System.Collections.Immutable.sln] ```  The reason of this error is that environment variable `Platform` is set to `MCD` on the laptop by default. I have to change build command in the build.cmd by adding `/p:Platform=""Any CPU""` to compile the project.  Build script should check for allowed platforms and generate user-friendly error message, which says what to do to successfully compile the project when the platform is not supported.  "
70	area-Meta	Hello, World! sample	"Feature request: please add ""Hello, World!"" sample, which shows how to use .NET Core with user applications. "
71	area-System.Numerics	Behaviour of `Quaternion.CreateFromAxisAngle` when axis is not a unit vector	"The resulting quaternion depends on the length of `axis`. This does not describe a rotation and thus does not match the documentation.  There are a few ways to handle this issue: 1. Normalize `axis`, but this incurs a performance hit 2. Add a precondition that `axis.Length()` ≈ 1.        But enforcing that pre-condition is about as expensive as 1), so it'd probably need to be a documentation-only precondition. Unfortunately this means that consumers will rely on the current behaviour even if it's undocumented, so I don't think that this is a good solution. 3. Document the current behaviour  ---  Just for convenience, the relevant source code:  ``` /// <summary> /// Creates a Quaternion from a vector and an angle to rotate about the vector. /// </summary> /// <param name=""axis"">The vector to rotate around.</param> /// <param name=""angle"">The angle, in radians, to rotate around the vector.</param> /// <returns>The created Quaternion.</returns> public static Quaternion CreateFromAxisAngle(Vector3 axis, float angle) {     Quaternion ans;      float halfAngle = angle * 0.5f;     float s = (float)Math.Sin(halfAngle);     float c = (float)Math.Cos(halfAngle);      ans.X = axis.X * s;     ans.Y = axis.Y * s;     ans.Z = axis.Z * s;     ans.W = c;      return ans; } ``` "
72	area-System.Numerics	`Equals` with NaN values (IEEE vs. reflexivity)	The built in floating point types compare `NaN` as unequal when using `==` and `!=` (following IEEE semantics) but compare it as equal when using the `Equals` method.  Your floating point based types currently use IEEE semantics even for `Equals`. I suggest using the same behaviour as the built in types in your floating point based types like vectors or quaternions.  The  MSDN documentation of `Equals` contains an exception that allows `A.Equals(A)` to return false on floating point types, so you don't strictly violate its contract. But returning false still breaks hash tables and does not match the behaviour of the built in types, so I consider it a bad idea.  This can be avoided by calling `Equals` on the members instead of `==` in the implementation of `Equals` but not in `==` and `!=`.  For example with quaternion,  replace  ``` public bool Equals(Quaternion other) {     return (X == other.X &&             Y == other.Y &&             Z == other.Z &&             W == other.W); } ```  with  ``` public bool Equals(Quaternion other) {     return (X.Equals(other.X) &&             Y.Equals(other.Y) &&             Z.Equals(other.Z) &&             W.Equals(other.W)); } ```  You might want to add tests that check that `==` and `!=` compare all the above cases as unequal, so that they match the IEEE specification.  Replace:  ``` // Counterintuitive result - IEEE rules for NaN comparison are weird! Assert.False(a.Equals(a)); Assert.False(b.Equals(b)); Assert.False(c.Equals(c)); Assert.False(d.Equals(d)); ```  with:  ``` // Equals does not follow IEEE semantics since many consumers rely on equality being reflexive. // This includes collections like `Dictionary<K,V>` or `HashSet<T>` Assert.True(a.Equals(a)); Assert.True(b.Equals(b)); Assert.True(c.Equals(c)); Assert.True(d.Equals(d));  // Counterintuitive result - IEEE rules for NaN comparison are weird! Assert.False(a == a); Assert.False(b == b); Assert.False(c == c); Assert.False(d == d);  Assert.True(a != a); Assert.True(b != b); Assert.True(c != c); Assert.True(d != d); ``` 
77	area-System.Xml	Some Xml encoding tests lost their encoding	Some of Xml tests were testing problematic characters in different Encoding (like Russian characters). At some point few years back the encoding was lost while moving between different repos. Tests pass because .cs files lost their encoding too. Tests need to be rewritten since there is no trace of original copy 
81	area-System.Xml	Add test coverage for XPath and XDocument	- Adding test coverage for XPath implementations (XPath.XPathDocument, XPath.XmlDocument, XPath.XDocument) - Adding some tests for XDocument (more coming later) 
94	area-Meta	Necessary bits for Mono.Posix	I tried to build [Mono.Posix](https://github.com/mono/mono/tree/master/mcs/class/Mono.Posix) against aspnetcore50 and found a lot of API that mono uses to be missing from .NET Core most prominently in the Interop-domain (like CustomMarshaler).  Please add Mono.Posix to your list of scenarios that can benefit from the API surface of .NET Core. 
110	area-System.Xml	Add async document/element loading for XLinq.	Adds XElement.LoadAsync and XDocument.LoadAsync. Code from the sync versions has been largely lifted out so they can share an implementation as much as possible. 
116	area-System.Numerics	Quaternion and public fields	Is there a reason that the Quaternion struct has public exposed fields versus read only properties? Seems to be against the general guidelines for structs and immutability. Why would you want to allow X, Y, Z and W to be set outside of the ctor? 
118	area-System.Numerics	Matrix4x4 - more useful public properties	Forward, Backward, Up, Down, Left, Right public properties for Matrix4x4 
119	area-System.Numerics	Vector3 - more public static properties	Up, Down, Left, Right, Forward, Backward vector public static properties 
121	area-System.Numerics	Matrix4x4 - more useful public properties	Added Forward, Backward, Up, Down, Left, Right vectors public properties for Matrix4x4.  Fix #118 
129	area-System.Xml	Add XmlReader	System.Xml.XmlReader is currently missing. 
136	area-System.Xml	XPath tests with expressions resulting in +/- infinity fail in Windows 10	"The following XPath tests fail for me on Windows 10 Technical Preview, build 9879:  StringFunctionsTest2457 StringFunctionsTest2458  The call to Convert.ChangeType in XPathTests.Common.Utils.XPathObject<T> is throwing a FormatException when the value passed is ""Infinity"" or ""-Infinity"".  The tests pass for me on Windows 8.1.  Each of these tests is part of 3 different test assemblies, resulting in 6 failures total:  System.Xml.XPath.Tests.dll System.Xml.XPath.XDocument.Tests.dll System.Xml.XPath.XmlDocument.Tests.dll "
141	area-System.Numerics	Added .ToArray() and .FromArray() for Vector types	This commit adds Vector2.ToArray(), Vector2.FromArray(float[]), Vector3.ToArray(), Vector3.FromArray(float[]), Vector4.ToArray() and Vector4.FromArray(float[]). The FromArray method copies the array elements to a vector: the element at index 0 becomes X, the element at index 1 becomes Y and so on. The ToArray() method converts the vector to an array: it puts X at index 0, Y at index 1 and so on.  These methods looked useful to me if you have an array but want to do vector operations. 
142	area-System.Numerics	Vector2 and Vector3 Projection	The current source includes public static methods for reflection of a vector about a unit vector normal but the underlying vector projection is also useful by itself.  Proposing:  ``` C# public static Vector2 Project(Vector2 vector, Vector2 component) { ... } //... public static Vector3 Project(Vector3 vector, Vector3 component) { ... } ```  I'll wait for feed back before trying to submit a pull request. 
144	area-Infrastructure	All the linked files are in the root folder of the XML projects.	When you reference files outside the project directory, such as the common directory in the XML code case, these links by default show up in the root of the project in VS which is very annoying and clutters the solution unnecessarily. We should add the appropriate <Link> metadata to these Compile items so that VS will group them correctly in the solution explorer. 
149	area-System.Xml	Wrong named tests in System.Xml.XmlDocument	"- The files NodeChangingTests.cs, NodeChangedTests.cs, NodeInsertingTests.cs and NodeInsertedTests.cs contain test cases called ""RemoveEventHandler"". No test uses a ""Remove""-event. Maybe a Copy&Paste mistake from file NodeRemovedTests.cs. - The files NodeChangingTests.cs and NodeChangedTests.cs contain test cases called ""RemoveNode"" but testing a change of a node. "
156	area-System.Numerics	Private static read only fields for Vectors	Private static read only fields for One, Zero and Unit vectors on Vector2, Vector3 and Vector4. 
157	area-System.Numerics	Alternative versions of methods for Vectors and Matrices	"Would be helpful to have alternative versions of methods with ""out"" parameter as result. Example:  this    ```C#  public static Matrix CreateFromQuaternion(Quaternion quaternion) { ... }  ```    and that    ```C#  public static void CreateFromQuaternion(ref Quaternion quaternion, out Matrix result) { ... }  ```    What do you think guys? Do you want to add that?  "
176	area-System.Linq	System.Linq.Parallel Tests are Failing on AppVeyor Machines	The following 5 tests are failing (some intermittently) on our AppVeyor CI builds. I haven't investigated deeply, but I suspect it has to do with the limited hardware that the VM's are equipped with. Some of the test explicitly test whether multiple threads are created, which might not even be the case in an underpowered VM. 
181	area-System.Linq	Removes unnecessary object allocations because of delegates	"I introduced several singletons to store delegate instances to avoid unnecessary object allocation in generic methods.  #### For example  `ParallelEnumerable.PerformAggregation()` method  **Before:**  ``` csharp private static T PerformAggregation<T>(this ParallelQuery<T> source,     Func<T, T, T> reduce, T seed, bool seedIsSpecified, bool throwIfEmpty, QueryAggregationOptions options) {     Contract.Assert(source != null);     Contract.Assert(reduce != null);     Contract.Assert(options.IsValidQueryAggregationOption(), ""enum is out of range"");      AssociativeAggregationOperator<T, T, T> op = new AssociativeAggregationOperator<T, T, T>(         source, seed, null, seedIsSpecified, reduce, reduce, delegate (T obj) { return obj; }, throwIfEmpty, options);     return op.Aggregate(); } ```  ```     IL_0000: nop     IL_0001: ldarg.0     IL_0002: ldarg.2     IL_0003: ldnull     IL_0004: ldarg.3     IL_0005: ldarg.1     IL_0006: ldarg.1     IL_0007: ldnull     IL_0008: ldftn !!0 System.Linq.ParallelEnumerable::'<PerformAggregation>b__e'<!!T>(!!0) >>> IL_000e: newobj instance void class [System.Runtime]System.Func`2<!!T, !!T>::.ctor(object, native int)     IL_0013: ldarg.s throwIfEmpty     IL_0015: ldarg.s options     IL_0017: newobj instance void class System.Linq.Parallel.AssociativeAggregationOperator`3<!!T, !!T, !!T>::.ctor(class [System.Runtime]System.Collections.Generic.IEnumerable`1<!0>, !1, class [System.Runtime]System.Func`1<!1>, bool, class [System.Runtime]System.Func`3<!1, !0, !1>, class [System.Runtime]System.Func`3<!1, !1, !1>, class [System.Runtime]System.Func`2<!1, !2>, bool, valuetype System.Linq.Parallel.QueryAggregationOptions)     IL_001c: stloc.0     IL_001d: ldloc.0     IL_001e: callvirt instance !2 class System.Linq.Parallel.AssociativeAggregationOperator`3<!!T, !!T, !!T>::Aggregate()     IL_0023: stloc.1     IL_0024: br.s IL_0026      IL_0026: ldloc.1     IL_0027: ret ```  **After:**  ``` csharp private static T PerformAggregation<T>(this ParallelQuery<T> source,     Func<T, T, T> reduce, T seed, bool seedIsSpecified, bool throwIfEmpty, QueryAggregationOptions options) {     Contract.Assert(source != null);     Contract.Assert(reduce != null);     Contract.Assert(options.IsValidQueryAggregationOption(), ""enum is out of range"");      AssociativeAggregationOperator<T, T, T> op = new AssociativeAggregationOperator<T, T, T>(         source, seed, null, seedIsSpecified, reduce, reduce, IdentityFunction<T>.Instance, throwIfEmpty, options);     return op.Aggregate(); } ```  ```     IL_0000: nop     IL_0001: ldarg.0     IL_0002: ldarg.2     IL_0003: ldnull     IL_0004: ldarg.3     IL_0005: ldarg.1     IL_0006: ldarg.1 >>> IL_0007: ldsfld class [System.Runtime]System.Func`2<!0, !0> class System.Linq.IdentityFunction`1<!!T>::Instance     IL_000c: ldarg.s throwIfEmpty     IL_000e: ldarg.s options     IL_0010: newobj instance void class System.Linq.Parallel.AssociativeAggregationOperator`3<!!T, !!T, !!T>::.ctor(class [System.Runtime]System.Collections.Generic.IEnumerable`1<!0>, !1, class [System.Runtime]System.Func`1<!1>, bool, class [System.Runtime]System.Func`3<!1, !0, !1>, class [System.Runtime]System.Func`3<!1, !1, !1>, class [System.Runtime]System.Func`2<!1, !2>, bool, valuetype System.Linq.Parallel.QueryAggregationOptions)     IL_0015: stloc.0     IL_0016: ldloc.0     IL_0017: callvirt instance !2 class System.Linq.Parallel.AssociativeAggregationOperator`3<!!T, !!T, !!T>::Aggregate()     IL_001c: stloc.1     IL_001d: br.s IL_001f      IL_001f: ldloc.1     IL_0020: ret  ```  Where `IdentityFunction` looks like  ``` csharp internal class IdentityFunction<T> {     public static readonly Func<T, T> Instance = Function;      private static T Function(T arg)     {         return arg;     } } ``` "
187	area-System.IO	Can the System.IO namespace be modified to manipulate device handles?	"This assumes the `System.IO` and 'Microsoft.Win32.SafeHandles' namespace are being open sourced in CoreFX. If not close this ticket.  Right now if you do the following:  ``` var handle = File.Open(""\\\\.\\Global\\ProcmonDebugLogger"", FileMode.Append); ```  You get an exception **FileStream will not open Win32 devices such as disk partitions and tape drives. Avoid use of ""\.\"" in the path.** If you want raw device access, you need to use P/Invoke. I propose the following:  ``` public sealed class Microsoft.Win32.SafeHandles.SafeDeviceHandle: SafeHandleZeroOrMinusOneIsInvalid { . . . } public static Microsoft.Win32.SafeHandles.SafeFileHandle System.IO.File.OpenHandle(string path) {      public bool DeviceIoControl( . . .) { . . . } } public static Microsoft.Win32.SafeHandles.SafeDeviceHandle System.IO.File.OpenDeviceHandle(string path) { . . .} ```  My use case for this would be to remove the [PInvoke functons from ProceMonDebugOutput](https://github.com/Wintellect/ProcMonDebugOutput/blob/master/Source/Sysinternals.Debug/NativeMethods.cs) by @JohnWintellect.  "
